basename,negative,neutral,positive
train/0625/1322_137588_000010_000013,0.20213058590888977,0.774213433265686,0.023655965924263
train/0625/1322_137589_000016_000007,0.1623624563217163,0.8033414483070374,0.03429611027240753
train/0625/1322_137588_000011_000004,0.20195548236370087,0.7678931355476379,0.03015134483575821
train/0625/1322_137588_000008_000000,0.09270153939723969,0.7953072190284729,0.11199115961790085
train/0625/1322_137589_000004_000019,0.034381598234176636,0.7896538972854614,0.17596447467803955
train/0625/1322_137589_000012_000005,0.21872678399085999,0.7454371452331543,0.03583606705069542
train/0625/1322_137588_000014_000001,0.2561548948287964,0.7059600949287415,0.03788504749536514
train/0625/1322_137589_000010_000004,0.585974931716919,0.3995148241519928,0.014510191045701504
train/0625/1322_137588_000021_000003,0.254198282957077,0.687595784664154,0.058205895125865936
train/0625/1322_137589_000004_000021,0.035573676228523254,0.8586089611053467,0.1058172881603241
train/0625/1322_137588_000010_000004,0.1202433705329895,0.7850625514984131,0.09469407051801682
train/0625/1322_137588_000014_000009,0.4566904306411743,0.4975491464138031,0.045760415494441986
train/0625/1322_137588_000014_000006,0.0498448945581913,0.8981263637542725,0.052028823643922806
train/0625/1322_137589_000010_000003,0.12675432860851288,0.8085440397262573,0.06470169126987457
train/0625/1322_137588_000009_000000,0.16254638135433197,0.6159701347351074,0.22148340940475464
train/0625/1322_137589_000012_000004,0.09852521121501923,0.7854150533676147,0.116059809923172
train/0625/1322_137589_000004_000008,0.2380262017250061,0.7272899746894836,0.03468383103609085
train/0625/1322_137589_000005_000000,0.15073361992835999,0.677501380443573,0.17176499962806702
train/0625/1322_137588_000021_000002,0.5372127294540405,0.44030290842056274,0.022484350949525833
train/0625/1322_137588_000014_000000,0.16023077070713043,0.7961180806159973,0.04365111514925957
train/0625/1322_137589_000016_000009,0.16181223094463348,0.7835233807563782,0.05466447025537491
train/0625/1322_137588_000018_000001,0.2035372406244278,0.7662643790245056,0.030198410153388977
train/0625/1322_137589_000015_000000,0.1106315553188324,0.7624984979629517,0.12687000632286072
train/0625/1322_137588_000004_000000,0.1621033400297165,0.6200280785560608,0.21786853671073914
train/0625/1322_137589_000016_000016,0.5832684636116028,0.3954737186431885,0.021257854998111725
train/0625/1322_137589_000014_000007,0.25851601362228394,0.7000479698181152,0.04143603891134262
